identifier,normalizedIdentifier,lookupType,resolvedUuid,resolvedUsername,stars,nicked,cacheSource,cacheHit,revalidated,installId,responseStatus,latencyMs,requestedAt
4614dcc468244d1c9a352e2844c6c9b2,4614dcc468244d1c9a352e2844c6c9b2,uuid,4614dcc468244d1c9a352e2844c6c9b2,refactoring,66,false,network,false,false,,200,2262,2026-03-16T16:13:59.564Z
07cdb540215311f199c033ad18b26e5d,07cdb540215311f199c033ad18b26e5d,uuid,07cdb540215311f199c033ad18b26e5d,(nicked),,true,network,false,false,,200,459,2026-03-16T16:13:54.661Z
6a2c6f5825f94269bf7e5302be8714c8,6a2c6f5825f94269bf7e5302be8714c8,uuid,6a2c6f5825f94269bf7e5302be8714c8,DarkKnightPax,8,false,network,false,false,,200,604,2026-03-16T16:13:54.661Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,613,false,cache,true,false,,200,0,2026-03-16T16:13:54.661Z
7a36f25e2d0644a0aa1675f0446e98bc,7a36f25e2d0644a0aa1675f0446e98bc,uuid,7a36f25e2d0644a0aa1675f0446e98bc,thruthru3252,103,false,network,false,false,,200,1461,2026-03-16T16:13:54.661Z
4e4ff932fa0648da8413baeafa9df6ba,4e4ff932fa0648da8413baeafa9df6ba,uuid,4e4ff932fa0648da8413baeafa9df6ba,LaserSplitz,7,false,network,false,false,,200,1566,2026-03-16T16:13:54.661Z
3d4fc1389c8b490b87fd794b3fc5526f,3d4fc1389c8b490b87fd794b3fc5526f,uuid,3d4fc1389c8b490b87fd794b3fc5526f,Miskoo818,27,false,network,false,false,,200,1666,2026-03-16T16:13:54.661Z
30eb5dd0e8ff45d995701b7d9decacd3,30eb5dd0e8ff45d995701b7d9decacd3,uuid,30eb5dd0e8ff45d995701b7d9decacd3,600WINGS,28,false,network,false,false,,200,1958,2026-03-16T16:13:54.661Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,613,false,cache,true,false,,200,0,2026-03-16T16:06:34.378Z
cd0edd18d9ec4bd69c53bc50db27eda8,cd0edd18d9ec4bd69c53bc50db27eda8,uuid,cd0edd18d9ec4bd69c53bc50db27eda8,shrigamingplayz,12,false,network,false,false,,200,238,2026-03-16T16:06:34.378Z
